Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -35.4048     -35.4979       0.0931   360.3
0.0200         -35.4150     -35.4853       0.0703   271.8
0.0400         -35.4146     -35.4575       0.0429   165.9
0.0600         -35.4137     -35.4259       0.0122    47.3
0.0800         -35.4124     -35.4126       0.0002     0.7
0.1000         -35.4111     -35.4295       0.0184    71.2
0.1200         -35.4103     -35.4632       0.0529   204.8
0.1400         -35.4101     -35.4888       0.0788   304.6
0.1600         -35.4102     -35.4961       0.0859   332.3
0.1800         -35.4102     -35.4781       0.0679   262.6
0.2000         -35.4098     -35.4458       0.0361   139.6
